# BEAST v1.8.3
# Generated Tue Jul 19 10:06:23 EST 2016 [seed=1468886782485]
# -overwrite -beagle_off concat_clock_genes.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
820000	-492521.95137622405	-70.01577604598275	-492451.9356001781	688417.7386046814	516155.157873883	2.702848569284097	0.3557070790340723	0.1598621328461258	0.14063643003220866	0.3437943580875932	1.9621275762665449E-7	1.9621275762665449E-7	-492451.9356001781	0.0	-68.71524911615599
830000	-492518.7513393286	-68.10138899228721	-492450.6499503363	602202.4813215982	190489.17054589963	2.702848569284097	0.3557070790340723	0.1598621328461258	0.14063643003220866	0.3437943580875932	2.2617078477153823E-7	2.2617078477153823E-7	-492450.6499503363	0.0	-67.65628047344228
840000	-492520.98266967246	-69.15048872685658	-492451.8321809456	713078.7724630797	214041.99200917257	2.702848569284097	0.3557070790340723	0.1598621328461258	0.14063643003220866	0.3437943580875932	1.9149184618137697E-7	1.9149184618137697E-7	-492451.8321809456	0.0	-68.75655430368897
850000	-492520.34116486873	-70.25104934374497	-492450.090115525	899368.8955865547	304739.6119159748	2.702848569284097	0.3557070790340723	0.1598621328461258	0.14063643003220866	0.3437943580875932	1.523826145576948E-7	1.5238261455769475E-7	-492450.090115525	0.0	-69.7329995601661
860000	-492522.53207053663	-69.02872298742102	-492453.50334754924	701055.300245007	328304.27701825136	2.702848569284097	0.3558961828088312	0.1596730290713669	0.14063643003220866	0.3437943580875932	1.926314166597464E-7	1.9263141665974637E-7	-492453.50334754924	0.0	-68.19871886282716
870000	-492517.3664217152	-68.7144219395114	-492448.65199977567	680511.9677953586	245309.77889611697	2.7113192135744915	0.3551802037409507	0.1596730290713669	0.14063643003220866	0.34451033715547363	2.0189974964284858E-7	2.018997496428486E-7	-492448.65199977567	0.0	-68.12846392478107
880000	-492516.1390952856	-68.71298414745954	-492447.42611113813	675803.5116832493	241861.9810897176	2.717887616645414	0.3551802037409507	0.1596730290713669	0.14063643003220866	0.34451033715547363	2.0189705415037125E-7	2.018970541503713E-7	-492447.42611113813	0.0	-68.13795498210168
890000	-492520.45987977204	-71.43481245881233	-492449.0250673132	722526.2903723584	123260.44452017867	2.7242963806288736	0.3551802037409507	0.1596730290713669	0.14082537856665378	0.3443213886210285	1.8796492149105306E-7	1.8796492149105306E-7	-492449.0250673132	0.0	-71.60242398051396
900000	-492525.44390621636	-69.51767752041236	-492455.92622869596	791175.8981424557	302518.93653089355	2.7561506474133677	0.35464373756222006	0.1596730290713669	0.1413618447453844	0.3443213886210285	1.724301424738084E-7	1.724301424738084E-7	-492455.92622869596	0.0	-68.8623208639325
910000	-492521.8759873487	-69.77651774973694	-492452.09946959896	593715.0895674273	518346.8706632926	2.7561506474133677	0.35464373756222006	0.1602909327141862	0.1413618447453844	0.3437034849782092	2.3174935091133897E-7	2.3174935091133894E-7	-492452.09946959896	0.0	-68.28818492161565
920000	-492519.8511321647	-69.0869101930569	-492450.7642219717	715924.9097416087	243795.42839170064	2.7561506474133677	0.35651538840297875	0.15914680482036903	0.14063432179844287	0.3437034849782092	1.9058654821364295E-7	1.9058654821364295E-7	-492450.7642219717	0.0	-68.54791588621235
930000	-492521.9989912186	-70.25803688262845	-492451.740954336	906252.5274844108	297318.00861037103	2.713207163292208	0.3557731523257566	0.15992725396111518	0.13985387265769672	0.3444457210554313	1.5026978624638828E-7	1.502697862463883E-7	-492451.740954336	0.0	-69.77338440903162
940000	-492522.13583086734	-71.92672964725493	-492450.20910122007	827234.5474488344	820360.1366983621	2.713207163292208	0.3557731523257566	0.15992725396111518	0.13985387265769672	0.3444457210554313	1.6620076569579195E-7	1.6620076569579195E-7	-492450.20910122007	0.0	-70.32805553803819
950000	-492520.7960882581	-69.30744261758265	-492451.4886456405	760378.2098091658	292416.54094125325	2.7666599106621246	0.3557731523257566	0.15941605537666534	0.14036507124214656	0.3444457210554313	1.8023701913016796E-7	1.8023701913016794E-7	-492451.4886456405	0.0	-68.63848570216332
960000	-492520.9049149759	-69.10110809087892	-492451.80380688503	707730.3228988657	318107.85045867227	2.7666599106621246	0.356530416139145	0.15865879156327697	0.14036507124214656	0.3444457210554313	1.9252809522245652E-7	1.925280952224565E-7	-492451.80380688503	0.0	-68.2817285863195
970000	-492525.13503515295	-69.2402299420463	-492455.89480521093	737595.6080182387	304619.21957733005	2.7666599106621246	0.355867106869417	0.15869376094268844	0.14034986426205212	0.3450892679258422	1.8401683684777427E-7	1.8401683684777427E-7	-492455.89480521093	0.0	-68.50889386571467
980000	-492522.2971357825	-70.92402993919217	-492451.3731058433	699013.5779551888	663343.5687949912	2.737115630224311	0.35565930089772035	0.15890156691438515	0.14034986426205212	0.3450892679258422	1.9508675749690528E-7	1.950867574969053E-7	-492451.3731058433	0.0	-69.36771932981696
